2015-04-05 02:53:56,084 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/springframework/spring-expression/4.1.6.RELEASE/spring-expression-4.1.6.RELEASE.jar
2015-04-05 02:53:56,122 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/springframework/spring-web/4.1.6.RELEASE/spring-web-4.1.6.RELEASE.jar
2015-04-05 02:53:56,993 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/springframework/spring-web/4.1.6.RELEASE/spring-web-4.1.6.RELEASE.jar
2015-04-05 02:53:57,516 [Worker-14] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/springframework/spring-webmvc//spring-webmvc-.pom
2015-04-05 02:53:57,526 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-webmvc:jar: is missing, no dependency information available
2015-04-05 02:53:57,762 [Worker-14] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/springframework/spring-context//spring-context-.pom
2015-04-05 02:53:57,769 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-context:jar: is missing, no dependency information available
2015-04-05 02:54:27,081 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Spring-Security:Secure:0.0.1-SNAPSHOT @ C:\Git B\Sprojects\Spring_Security\Spring-Security\pom.xml.
2015-04-05 02:54:27,322 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-05 02:54:27,323 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Git B\Sprojects\Spring_Security\Spring-Security\src\main\resources
2015-04-05 02:54:27,324 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-05 02:54:27,325 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Git B\Sprojects\Spring_Security\Spring-Security\src\test\resources
2015-04-05 02:55:02,063 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-04-05 02:55:02,181 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Spring-Security:Secure:0.0.1-SNAPSHOT @ C:\Git B\Sprojects\Spring_Security\Spring-Security\pom.xml.
2015-04-05 02:55:02,346 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring-Security/src
2015-04-05 02:55:02,346 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Spring-Security/src/test/java because it overlaps with /Spring-Security/src
2015-04-05 02:55:02,793 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Spring-Security:Secure:0.0.1-SNAPSHOT @ C:\Git B\Sprojects\Spring_Security\Spring-Security\pom.xml.
